part.str,Type,k
SH 2,RIP,0.002912071
SI 1,RIP,0.003472065
SI 2,RIP,0.015984896
SI 3,RIP,0.008168673
SI 4,RIP,0.002635663
SK 1,RIP,0.014208471
SK 2,RIP,0.006067794
SK 3,RIP,0.005878933
SK 4,RIP,0.007105274
SL 1,RIP,0.002460938
SL 2,RIP,0.001995702
SL 3,RIP,0.002571726
SL 4,RIP,0.001969594
SM 1,RIP,0.018787189
SM 2,RIP,0.037458339
SM 3,RIP,0.014762783
SM 4,RIP,0.008694704
ST 1,RIP,0.001661666
ST 2,RIP,0.001974466
ST 3,RIP,0.001330446
ST 4,RIP,0.008278015
SU 1,RIP,0.002274265
SU 2,RIP,0.002117612
SU 3,RIP,0.002029549
SU 4,RIP,0.002406638
SV 1,RIP,0.006497808
SV 2,RIP,0.007468591
SV 3,RIP,0.009206357
SV 4,RIP,0.01122443
SW 1,RIP,0.004115087
SW 2,RIP,0.009558619
SW 3,RIP,0.002428675
SW 4,RIP,0.022641842
TAHI 1,RIP,0.012342713
TAHI 2,RIP,0.005096816
TAHI 3,RIP,0.003509503
TAHI 4,RIP,0.009356563
TF 1,RIP,0.002843809
TF 2,RIP,0.005478541
TF 3,RIP,0.003195987
TF 4,RIP,0.0027801
TI 1,RIP,0.017529303
TI 2,RIP,0.013274897
TI 3,RIP,0.014087561
TI 4,RIP,0.007697009
TIMO 1,RIP,0.025129978
TIMO 2,RIP,0.008622488
TIMO 3,RIP,0.017316888
TIMO 4,RIP,0.012111705
TM 1,RIP,0.049883838
TM 2,RIP,0.035930212
TM 3,RIP,0.049944669
TM 4,RIP,0.021744582
TR 1,RIP,0.005318201
TR 2,RIP,0.006759405
TR 3,RIP,0.008294659
TR 4,RIP,0.007687314
VCP 1,RIP,0.071325486
VCP 2,RIP,0.103042651
VCP 3,RIP,0.093244543
VCP 4,RIP,0.048831242
VDV 1,RIP,0.018298256
VDV 2,RIP,0.008607938
VDV 3,RIP,0.007245378
VDV 4,RIP,0.006948641
VF 1,RIP,0.006868975
VF 2,RIP,0.002241571
VF 3,RIP,0.002116849
VF 4,RIP,0.003289313
VG 1,RIP,0.009034746
VG 2,RIP,0.021749762
VG 3,RIP,0.015433802
VG 4,RIP,0.010168568
VNL 1,RIP,0.060821636
VNL 2,RIP,0.061223674
VNL 3,RIP,0.050578124
VNL 4,RIP,0.073301069
WC 1,RIP,0.002069548
WC 2,RIP,0.002048868
WC 3,RIP,0.001533045
WC 4,RIP,0.002626252
YM 1,RIP,0.017872136
YM 2,RIP,0.003062482
YM 3,RIP,0.004649002
YM 4,RIP,0.003799543
YZ 1,RIP,0.002131913
YZ 2,RIP,0.002108739
YZ 3,RIP,0.003033357
